dataset,cid,client_name,domain,sup_type,step,metric,pseudo_mode,metric_pixels,metric_value,checkpoint
faz,3,client4,Domain4,box,3170,bg_expansion,blended,9043733,0.012751592732779706,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_3_iter_3170_dice_0.9277.pth
faz,4,client5,Domain5,scribble,20,bg_expansion,backbone,1804644,0.8074883467320979,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_20_dice_0.1512.pth
faz,4,client5,Domain5,scribble,510,bg_expansion,backbone,1804644,0.003907695922298248,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_510_dice_0.4634.pth
faz,4,client5,Domain5,scribble,950,bg_expansion,backbone,1804644,0.005396078118454387,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_950_dice_0.8628.pth
faz,4,client5,Domain5,scribble,2350,bg_expansion,backbone,1804644,0.005847690735679724,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_2350_dice_0.2045.pth
faz,4,client5,Domain5,scribble,3170,bg_expansion,backbone,1804644,0.0058050230405553675,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_3170_dice_0.9398.pth
faz,4,client5,Domain5,scribble,20,bg_expansion,blended,1804644,0.7631798847861406,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_20_dice_0.1512.pth
faz,4,client5,Domain5,scribble,510,bg_expansion,blended,1804644,0.003892180396798482,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_510_dice_0.4634.pth
faz,4,client5,Domain5,scribble,950,bg_expansion,blended,1804644,0.005217095449296371,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_950_dice_0.8628.pth
faz,4,client5,Domain5,scribble,2350,bg_expansion,blended,1804644,0.00604717606353386,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_2350_dice_0.2045.pth
faz,4,client5,Domain5,scribble,3170,bg_expansion,blended,1804644,0.005653746666932647,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/faz/FedLPPA_official_clean_faz_paper_r500_l10_20260425_142513_seed2022/client_4_iter_3170_dice_0.9398.pth
