dataset,cid,client_name,domain,sup_type,step,metric,pseudo_mode,metric_pixels,metric_value,checkpoint
odoc,4,client5,Domain5,block,970,bg_expansion,backbone,2294841,0.01629306779859694,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_970_dice_0.7896.pth
odoc,4,client5,Domain5,block,1520,bg_expansion,backbone,2294841,0.04071262453477169,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_1520_dice_0.7378.pth
odoc,4,client5,Domain5,block,1930,bg_expansion,backbone,2294841,0.08231812138618753,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_1930_dice_0.7988.pth
odoc,4,client5,Domain5,block,2520,bg_expansion,backbone,2294841,0.044744712160886095,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_2520_dice_0.8511.pth
odoc,4,client5,Domain5,block,3000,bg_expansion,backbone,2294841,0.05892608681821529,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_3000_dice_0.8649.pth
odoc,4,client5,Domain5,block,3290,bg_expansion,backbone,2294841,0.05010891822134954,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_3290_dice_0.8833.pth
odoc,4,client5,Domain5,block,3920,bg_expansion,backbone,2294841,0.047805054903585914,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_3920_dice_0.8762.pth
odoc,4,client5,Domain5,block,10,bg_expansion,blended,2294841,0.0,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_10_dice_0.0.pth
odoc,4,client5,Domain5,block,480,bg_expansion,blended,2294841,0.11273242895695171,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_480_dice_0.0814.pth
odoc,4,client5,Domain5,block,970,bg_expansion,blended,2294841,0.01582506151842328,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_970_dice_0.7896.pth
odoc,4,client5,Domain5,block,1520,bg_expansion,blended,2294841,0.04071262453477169,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_1520_dice_0.7378.pth
odoc,4,client5,Domain5,block,1930,bg_expansion,blended,2294841,0.08111542368294797,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_1930_dice_0.7988.pth
odoc,4,client5,Domain5,block,2520,bg_expansion,blended,2294841,0.04519833835982536,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_2520_dice_0.8511.pth
odoc,4,client5,Domain5,block,3000,bg_expansion,blended,2294841,0.058604931670647335,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_3000_dice_0.8649.pth
odoc,4,client5,Domain5,block,3290,bg_expansion,blended,2294841,0.049882323001898606,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_3290_dice_0.8833.pth
odoc,4,client5,Domain5,block,3920,bg_expansion,blended,2294841,0.04780941250395997,/data/jianbingshen/yanghongji/FedLPPA_github_official_clean/model/odoc/FedLPPA_official_clean_odoc_paper_r500_l10_20260418_041021_seed2022/client_4_iter_3920_dice_0.8762.pth
