round,slot_0_std,slot_1_std,slot_2_std,slot_3_std
8750,0.06710014605051169,0.05361594538940817,0.052057814014804735,0.05958162804086509
8800,0.06213579966492745,0.04978467233998833,0.05730620908767218,0.04381641701463048
8850,0.03819130791161779,0.03967516099526252,0.03713262716264498,0.04232344031384973
8900,0.05251428757966731,0.050266792219118166,0.03174741564285193,0.04323329272678639
8950,0.046739336751819655,0.048774608148092806,0.06491906961748604,0.03431316948345051
9000,0.043906063362592646,0.07165881941533783,0.054112527200270356,0.04158752697624614
9050,0.012808965610071723,0.01956460068593275,0.02811864861617641,0.012272473263364654
9100,0.09992294231056248,0.061525506905672864,0.08826269880306178,0.07262053153206743
9150,0.07401585235610005,0.05699956491062016,0.07598203471874125,0.07130042356115424
9200,0.02064713055124127,0.046225335044756566,0.05110626576066774,0.022457871671198046
9250,0.04995912729421922,0.04979184672212911,0.04245359819850374,0.06276688936055377
9300,0.07358096492979689,0.06610493476284504,0.06119544427488046,0.07752773439228053
9350,0.04954581717965706,0.07621317471408734,0.06924734218726376,0.08092176468664038
9400,0.05677351495195626,0.06363613438919746,0.058003013714806234,0.03161031477223851
9450,0.04264070355892362,0.03398655028095673,0.03658466345341994,0.0437664072091827
9500,0.0491916496978908,0.04729090398797637,0.054980236449109605,0.05798888169295903
9550,0.027628101635834484,0.017863706222394065,0.02352743079896315,0.03611514917593446
9600,0.013633400162835393,0.01728587862967919,0.017702994097044712,0.011006289111230907
9650,0.04547630591857697,0.06684395559809429,0.048641685826048414,0.05883955812206615
9700,0.05727235284148889,0.06376646140409549,0.05599690705744379,0.060972892337497
9750,0.058392910528590705,0.03213798998070664,0.054505434591424,0.05123496462378011
9800,0.047238137135158065,0.050941990538258326,0.07099927886957726,0.05106836202581791
9850,0.039165117132468785,0.007030049786452432,0.009577473570832759,0.03756984961375279
9900,0.033280384613162156,0.043353265159616294,0.03557201146969342,0.03247873150232318
9950,0.05544279935212508,0.0548453680815436,0.06724681107680869,0.06932654902705025
10000,0.049218183631662,0.054912417539205095,0.044719570659835284,0.06899207490719494
10050,0.035290621983750874,0.07645627246995501,0.0495825533832214,0.04920461766948303
10100,0.0903866937109661,0.13516489189134873,0.09391843269561093,0.12822933205784082
10150,0.036798391269184584,0.037970599152502185,0.0232308760058677,0.03679860866935054
10200,0.05780756351897215,0.04473037446746897,0.0570603049413513,0.05693798029435185
10250,0.05562126931309642,0.05766175162098356,0.043601513735190424,0.048638067395816616
10300,0.07636380294354125,0.0807123633652243,0.06684577473558069,0.08505954149888183
10350,0.0278642853846999,0.03438247227876437,0.024310047305589524,0.04587349561566025
10400,0.04097410889818105,0.05025070745770651,0.04133126661499741,0.043663834004814564
10450,0.04857128369726293,0.06442044395997282,0.04311457294233587,0.03951315730234678
10500,0.0726883044237517,0.04748210610324694,0.061823218939165564,0.08390166625282242
10550,0.03737177544618399,0.02521769220210288,0.04819641480442296,0.04513099156898726
10600,0.06392498728979146,0.0789732714277432,0.08303631494713623,0.07053568175044456
10650,0.04055636078348254,0.032993732738203475,0.03615983407041576,0.045377642071839745
10700,0.041877984669752184,0.05436559205968421,0.041021428546553565,0.06948400103620979
10750,0.04716865908630433,0.07574363603630342,0.0613117933190671,0.06710171383802352
10800,0.04393064534012675,0.014003856611662386,0.01825381056108559,0.05264593431595643
10850,0.06044583029457035,0.03674618891803612,0.038242353484062665,0.04826307076844572
10900,0.06126939203223743,0.0847904853152758,0.08717551491101157,0.05391454720203073
10950,0.04848271444545984,0.0410825802500281,0.03961764253460824,0.03832516666630427
11000,0.043419838783671234,0.04403205196217864,0.04264232639057114,0.06021758547135546
11050,0.07487668261882334,0.05529423116383842,0.07609219670899246,0.058753144596693715
11100,0.06510814388384913,0.05875923757163633,0.05029483472485021,0.06701221978117125
11150,0.02407848832464363,0.04579653261983923,0.04236314435921866,0.02516786840397891
11200,0.016206739338929348,0.07122554597895336,0.05591366916953313,0.014243117636248043
11250,0.0397467281672341,0.03535754516365637,0.03447476758442325,0.030298158359873956
11300,0.05407451895301518,0.0622473003430671,0.05894725099612365,0.06051066021784922
11350,0.08499475277921571,0.04888701259025755,0.040746661212914106,0.0676451624286615
11400,0.04584061081617479,0.04249680458575681,0.043130156503309855,0.06436516449136132
11450,0.04706259661344664,0.03648533952151192,0.047384174573374196,0.03872761288796405
11500,0.0523876932112877,0.03857695685250458,0.04826409017064343,0.04764790026853229
11550,0.02584858990351311,0.0514317800586369,0.05998374446464641,0.017995510551245826
11600,0.057362831171412734,0.061612674020853866,0.08542450233978542,0.04675875960715811
11650,0.044449584924946155,0.04310853279804361,0.04395919016542503,0.058099452665235994
11700,0.026012873735902383,0.02497123144740764,0.025738453722009016,0.023546294825301083
