round,client,slot_std
6050,1,0.09414107764414004
6050,2,0.04323553949010004
6050,3,0.0459425388392936
6050,4,0.013414730709186832
6100,0,0.01996177597309419
6100,1,0.04824777196928371
6100,2,0.012963482363932919
6100,3,0.04404863789040474
6100,4,0.06367303196801609
6150,0,0.07763844086533422
6150,1,0.08549468916254391
6150,2,0.02705359264497046
6150,3,0.05250392247251629
6150,4,0.01931739824614071
6200,0,0.018816531959954776
6200,1,0.05212554556069413
6200,2,0.02688814794663255
6200,3,0.039989811202355036
6200,4,0.06944951403717668
6250,0,0.06320697647412032
6250,1,0.0234843032683535
6250,2,0.02848546778622391
6250,3,0.046052660075179164
6250,4,0.03006201922692486
6300,0,0.02205633412423743
6300,1,0.09131793361656843
6300,2,0.02536429577181278
6300,3,0.042581862335975856
6300,4,0.06239628895214843
6350,0,0.08814449784303044
6350,1,0.10155054160367635
6350,2,0.09534739115466137
6350,3,0.036843520461541136
6350,4,0.04705179991243694
6400,0,0.06593138004774358
6400,1,0.027334536304828728
6400,2,0.013251674422502234
6400,3,0.04683340154206184
6400,4,0.012002786134893854
6450,0,0.18163074319894196
6450,1,0.01749305219222762
6450,2,0.042239466142459714
6450,3,0.05155043040557469
6450,4,0.017638221990892412
6500,0,0.04095894285745178
6500,1,0.09195665758932303
6500,2,0.044607538600554955
6500,3,0.018263967257964506
6500,4,0.01513561610903238
6550,0,0.021073250223921317
6550,1,0.041374290024120054
6550,2,0.016654935454693317
6550,3,0.06808716380493463
6550,4,0.12318637302883789
6600,0,0.018314116822822774
6600,1,0.027672459232963006
6600,2,0.11618014836881557
6600,3,0.07777076491201561
6600,4,0.047854022819403604
6650,0,0.05885473642792055
6650,1,0.024436243573839254
6650,2,0.09842542862492396
6650,3,0.10057515846370813
6650,4,0.01940180403983094
6700,0,0.030102356635320106
6700,1,0.0861946162761921
6700,2,0.053795190305453884
6700,3,0.08446686850475754
6700,4,0.017966131330923753
6750,0,0.010633761093799321
6750,1,0.0037805422891431916
6750,2,0.09245459358517563
6750,3,0.06532160343255514
6750,4,0.09813649932619362
6800,0,0.02447406790870698
6800,1,0.005360270515561687
6800,2,0.1005118276622209
6800,3,0.008734700910735305
6800,4,0.019809640960905872
6850,0,0.016725056053717716
6850,1,0.009525065616571888
6850,2,0.05218872004561905
6850,3,0.041325718384560485
6850,4,0.06807690504128404
6900,0,0.03548671406315327
6900,1,0.07682104203927463
6900,2,0.10011039843592673
6900,3,0.04040045637118472
6900,4,0.019142426700917526
6950,0,0.013507474782504674
6950,1,0.0712936664438013
6950,2,0.039850431302559323
6950,3,0.046460594862743614
6950,4,0.10041228448252734
7000,0,0.024441089889773737
7000,1,0.022980535241808448
7000,2,0.03746715228036419
7000,3,0.028883948829756628
7000,4,0.012276883765842218
7050,0,0.0899521921633931
7050,1,0.10976131775356927
7050,2,0.009179324593890335
7050,3,0.03208967902612925
7050,4,0.09821250875015869
7100,0,0.0490510958083507
7100,1,0.10055509683750498
7100,2,0.04668395736224597
7100,3,0.051199871826011434
7100,4,0.05313922162583867
7150,0,0.07769965813953109
7150,1,0.013859540937563551
7150,2,0.08951480324504991
7150,3,0.012906078994024479
7150,4,0.06355570391396825
7200,0,0.026229801752967945
7200,1,0.06887460979925766
7200,2,0.04148870328173683
7200,3,0.08198754097422363
7200,4,0.033098111728616784
7250,0,0.07579236026803757
7250,1,0.042996824010617336
7250,2,0.11470180905286542
7250,3,0.037715273762760876
7250,4,0.04454292171602575
7300,0,0.03303369491897629
7300,1,0.08026659875066341
7300,2,0.04877227696140504
7300,3,0.08477518799743236
7300,4,0.01995800278083956
7350,0,0.015356676072640216
7350,1,0.03077360882314584
7350,2,0.08187970978820089
7350,3,0.11557184724231068
7350,4,0.05426863735160483
7400,0,0.03652098711699891
7400,1,0.17119625251447532
7400,2,0.14805553856576928
7400,3,0.11067252369039028
7400,4,0.13274589447512114
7450,0,0.03890208863287421
7450,1,0.03238999652670558
7450,2,0.04840676605599677
7450,3,0.10136590588062634
7450,4,0.10818898684709086
7500,0,0.018071939574932184
7500,1,0.006225903548883484
7500,2,0.0178844031211556
7500,3,0.06005345015067826
7500,4,0.05543033352777159
7550,0,0.08174149802884702
7550,1,0.002453950896004243
7550,2,0.01486058124704414
7550,3,0.02700013888853167
7550,4,0.038249011425133594
7600,0,0.037356282938750734
7600,1,0.030714735877099764
7600,2,0.062108790641905116
7600,3,0.02835157623484098
7600,4,0.08227444925370209
7650,0,0.11722270204614804
7650,1,0.032545852270297056
7650,2,0.052964280416144614
7650,3,0.025623170666410504
7650,4,0.11064635951986852
7700,0,0.008231152713927745
7700,1,0.08789474884769852
7700,2,0.03572949586825988
7700,3,0.0720469465001814
7700,4,0.10574659273470706
7750,0,0.015534719179953008
7750,1,0.015291725703791592
7750,2,0.0854772191873367
7750,3,0.048767580163465156
7750,4,0.03171406430907271
7800,0,0.06078003372819071
7800,1,0.08007425850421594
7800,2,0.07361186640073733
7800,3,0.01779136026277923
7800,4,0.020035390562701788
7850,0,0.009157647077715983
7850,1,0.09543551160338588
7850,2,0.01714970845233236
7850,3,0.024536847291369773
7850,4,0.12069376537336138
7900,0,0.1568560546329022
7900,1,0.08480072228465983
7900,2,0.03462260822064103
7900,3,0.05777345302991677
7900,4,0.028034119836370823
7950,0,0.06931628596513231
7950,1,0.010510233108737391
7950,2,0.0074153556893786195
7950,3,0.03475675294097538
7950,4,0.04236693138522072
8000,0,0.020475763111542387
8000,1,0.015050747489742824
8000,2,0.022311488072291375
8000,3,0.07933783381842487
8000,4,0.03458196784452845
8050,0,0.033120414776992145
8050,1,0.035361870354945875
8050,2,0.10383550392327277
8050,3,0.011410822713546988
8050,4,0.09722691242654986
8100,0,0.09647493197717218
8100,1,0.06285834769543343
8100,2,0.024767859717787496
8100,3,0.018900330684937763
8100,4,0.054689869948647704
8150,0,0.047517490200977584
8150,1,0.06630465198611632
8150,2,0.023891041731159385
8150,3,0.03047461033385005
8150,4,0.05797695123926403
8200,0,0.012975072254134086
8200,1,0.10555657250972106
8200,2,0.1338753408025541
8200,3,0.05720010380235336
8200,4,0.03486466692799459
8250,0,0.04648790165193519
8250,1,0.030645635904643906
8250,2,0.03672413205237122
8250,3,0.05419208313951402
8250,4,0.01980467116616683
8300,0,0.017204123778908363
8300,1,0.036505915616513444
8300,2,0.01911733506532749
8300,3,0.07239307200968889
8300,4,0.06425878830946007
8350,0,0.04091763067431935
8350,1,0.08091952792744159
8350,2,0.019055379817783748
8350,3,0.05272951616504745
8350,4,0.028712573465295647
8400,0,0.028610837107641573
8400,1,0.02664948404753832
8400,2,0.03563168358357489
8400,3,0.05080083660728434
8400,4,0.13155858723397726
8450,0,0.03496372227037619
8450,1,0.04726692157312554
8450,2,0.03715390289054435
8450,3,0.06403877731499878
8450,4,0.07704618744623253
8500,0,0.06450125483275501
8500,1,0.056987147673839576
8500,2,0.02901571772333058
8500,3,0.032127353999357004
8500,4,0.0338783393188037
8550,0,0.11858426065460796
8550,1,0.019928920567858173
8550,2,0.04710740387667315
8550,3,0.050146485420216644
8550,4,0.02733500503018063
8600,0,0.0413360239379648
8600,1,0.0470157088109921
8600,2,0.04954384421903492
8600,3,0.02401223646393648
8600,4,0.07555102166747979
8650,0,0.061776148309845284
8650,1,0.07722568792183077
8650,2,0.05830098626953063
8650,3,0.0315089273064
8650,4,0.04177734882684636
8700,0,0.06026501368953632
8700,1,0.06773442164069905
8700,2,0.03726924838254725
8700,3,0.08916595482581902
8700,4,0.016523089904736346
8750,0,0.037629003109303866
8750,1,0.01818493538619262
8750,2,0.09697064955438836
8750,3,0.04417966161029303
8750,4,0.07796487991397151
8800,0,0.1127573362358299
8800,1,0.02520064483301964
8800,2,0.031135700971714128
8800,3,0.09794064529091076
8800,4,0.016625733066544766
8850,0,0.06442252614575121
8850,1,0.025314669660100257
8850,2,0.033414994762830656
8850,3,0.025383508425747624
8850,4,0.04147610004568897
8900,0,0.04573173815852618
8900,1,0.0893228134353145
8900,2,0.0010368220676663924
8900,3,0.019159902792028997
8900,4,0.030282255530260618
8950,0,0.026644980765615115
8950,1,0.13147565126288593
8950,2,0.026274940532758594
8950,3,0.02588735212415515
8950,4,0.08214493289302756
9000,0,0.05412538106101425
9000,1,0.09640929350949522
9000,2,0.008597201579583914
9000,3,0.016358254796890768
9000,4,0.061541139695329004
9050,0,0.03399326220003017
9050,1,0.009915770267609082
